Index,Year,Country,UNIT,Indicator,Value
,2008,Sweden,"Current prices, million euro",Actual individual consumption,"220,263.30"
,2008,Sweden,"Current prices, million euro",Gross capital formation,"86,387.00"
,2008,Sweden,"Current prices, million euro",Gross fixed capital formation,"85,683.50"
,2008,Sweden,"Current prices, million euro",Changes in inventories and acquisitions less disposals of valuables,703.5
,2008,Sweden,"Current prices, million euro",Changes in inventories,601.7
,2008,Sweden,"Current prices, million euro",Acquisitions less disposals of valuables,101.8
,2008,Sweden,"Current prices, million euro",Exports of goods and services,"175,500.00"
,2008,Sweden,"Current prices, million euro",Exports of goods,"132,461.50"
,2008,Sweden,"Current prices, million euro",Exports of services,"43,038.50"
,2008,Sweden,"Current prices, million euro",Imports of goods and services,"153,420.10"
,2008,Sweden,"Current prices, million euro",Imports of goods,"112,772.60"
,2008,Sweden,"Current prices, million euro",Imports of services,"40,647.50"
,2008,Sweden,"Current prices, million euro",External balance of goods and services,"22,079.90"
,2008,Sweden,"Current prices, million euro",External balance - Goods,"19,688.90"
,2008,Sweden,"Current prices, million euro",External balance - Services,"2,391.00"
,2008,Sweden,"Current prices, million euro",Compensation of employees,"161,411.40"
,2008,Sweden,"Current prices, million euro",Wages and salaries,"135,874.80"
,2008,Sweden,"Current prices, million euro",Employers' social contributions,"25,536.70"
,2008,Sweden,"Current prices, million euro","Operating surplus and mixed income, gross","117,890.20"
,2008,Sweden,"Current prices, million euro",Taxes on production and imports less subsidies,"73,015.40"
,2008,Sweden,"Current prices, million euro",Taxes on production and imports,"79,322.50"
,2008,Sweden,"Current prices, million euro",Subsidies,"6,307.10"
,2008,Sweden,"Current prices, million euro",Taxes less subsidies on products,"41,142.10"
,2008,Sweden,"Current prices, million euro",Taxes on products,"42,888.90"
,2008,Sweden,"Current prices, million euro",Subsidies on products,"1,746.70"
,2008,Sweden,"Current prices, million euro",Statistical discrepancy (production approach),:
,2008,Sweden,"Current prices, million euro",Statistical discrepancy (expenditure approach),:
,2008,Sweden,"Current prices, million euro",Statistical discrepancy (income approach),:
,2008,Sweden,"Current prices, million euro",Final consumption expenditure and gross capital formation,"330,237.10"
,2008,Sweden,"Current prices, million euro","Final consumption expenditure, gross capital formation and exports of goods and services","505,737.20"
,2008,United Kingdom,"Current prices, million euro",Gross domestic product at market prices,"1,974,766.40"
,2008,United Kingdom,"Current prices, million euro","Value added, gross","1,786,189.50"
,2008,United Kingdom,"Current prices, million euro",Final consumption expenditure,"1,695,760.30"
,2008,United Kingdom,"Current prices, million euro",Final consumption expenditure of general government,"397,482.00"
,2008,United Kingdom,"Current prices, million euro",Individual consumption expenditure of general government,"242,506.40"
,2008,United Kingdom,"Current prices, million euro",Collective consumption expenditure of general government,"154,975.60"
,2008,United Kingdom,"Current prices, million euro",Household and NPISH final consumption expenditure,"1,298,278.20"
,2008,United Kingdom,"Current prices, million euro",Final consumption expenditure of households,"1,238,726.30"
,2008,United Kingdom,"Current prices, million euro",Final consumption expenditure of NPISH,"59,551.90"
,2008,United Kingdom,"Current prices, million euro",Actual individual consumption,"1,540,784.60"
,2008,United Kingdom,"Current prices, million euro",Gross capital formation,"335,585.50"
,2008,United Kingdom,"Current prices, million euro",Gross fixed capital formation,"335,305.40"
,2008,United Kingdom,"Current prices, million euro",Changes in inventories and acquisitions less disposals of valuables,280.1
,2008,United Kingdom,"Current prices, million euro",Changes in inventories,671.9
,2008,United Kingdom,"Current prices, million euro",Acquisitions less disposals of valuables,-391.8
,2008,United Kingdom,"Current prices, million euro",Exports of goods and services,"529,264.80"
,2008,United Kingdom,"Current prices, million euro",Exports of goods,"319,707.90"
,2008,United Kingdom,"Current prices, million euro",Exports of services,"209,556.90"
,2008,United Kingdom,"Current prices, million euro",Imports of goods and services,"585,844.20"
,2008,United Kingdom,"Current prices, million euro",Imports of goods,"438,261.70"
,2008,United Kingdom,"Current prices, million euro",Imports of services,"147,582.50"
,2008,United Kingdom,"Current prices, million euro",External balance of goods and services,"-56,579.30"
,2008,United Kingdom,"Current prices, million euro",External balance - Goods,"-118,553.80"
,2008,United Kingdom,"Current prices, million euro",External balance - Services,"61,974.40"
,2008,United Kingdom,"Current prices, million euro",Compensation of employees,"994,876.20"
,2008,United Kingdom,"Current prices, million euro",Wages and salaries,"832,854.00"
,2008,United Kingdom,"Current prices, million euro",Employers' social contributions,"162,022.20"
,2008,United Kingdom,"Current prices, million euro","Operating surplus and mixed income, gross","769,578.50"
,2008,United Kingdom,"Current prices, million euro",Taxes on production and imports less subsidies,"210,311.70"
,2008,United Kingdom,"Current prices, million euro",Taxes on production and imports,"225,459.60"
,2008,United Kingdom,"Current prices, million euro",Subsidies,"15,147.90"
,2008,United Kingdom,"Current prices, million euro",Taxes less subsidies on products,"188,576.90"
,2008,United Kingdom,"Current prices, million euro",Taxes on products,"195,712.60"
,2008,United Kingdom,"Current prices, million euro",Subsidies on products,"7,135.70"
,2008,United Kingdom,"Current prices, million euro",Statistical discrepancy (production approach),0
,2008,United Kingdom,"Current prices, million euro",Statistical discrepancy (expenditure approach),0
,2008,United Kingdom,"Current prices, million euro",Statistical discrepancy (income approach),0
,2008,United Kingdom,"Current prices, million euro",Final consumption expenditure and gross capital formation,"2,031,345.80"
,2008,United Kingdom,"Current prices, million euro","Final consumption expenditure, gross capital formation and exports of goods and services","2,560,610.60"
,2008,Iceland,"Current prices, million euro",Gross domestic product at market prices,"10,797.60"
,2008,Iceland,"Current prices, million euro","Value added, gross","9,439.90"
,2008,Iceland,"Current prices, million euro",Final consumption expenditure,"8,234.50"
,2008,Iceland,"Current prices, million euro",Final consumption expenditure of general government,"2,523.00"
,2008,Iceland,"Current prices, million euro",Individual consumption expenditure of general government,"1,674.50"
,2008,Iceland,"Current prices, million euro",Collective consumption expenditure of general government,848.4
,2008,Iceland,"Current prices, million euro",Household and NPISH final consumption expenditure,"5,711.60"
,2008,Iceland,"Current prices, million euro",Final consumption expenditure of households,"5,499.90"
,2008,Iceland,"Current prices, million euro",Final consumption expenditure of NPISH,211.7
,2008,Iceland,"Current prices, million euro",Actual individual consumption,"7,386.10"
,2008,Iceland,"Current prices, million euro",Gross capital formation,"2,788.40"
,2008,Iceland,"Current prices, million euro",Gross fixed capital formation,"2,720.90"
,2008,Iceland,"Current prices, million euro",Changes in inventories and acquisitions less disposals of valuables,67.4
,2008,Iceland,"Current prices, million euro",Changes in inventories,67.4
,2008,Iceland,"Current prices, million euro",Acquisitions less disposals of valuables,:
,2008,Iceland,"Current prices, million euro",Exports of goods and services,"4,448.40"
,2008,Iceland,"Current prices, million euro",Exports of goods,"2,798.80"
,2008,Iceland,"Current prices, million euro",Exports of services,"1,649.60"
,2008,Iceland,"Current prices, million euro",Imports of goods and services,"4,684.70"
,2008,Iceland,"Current prices, million euro",Imports of goods,"3,257.00"
,2008,Iceland,"Current prices, million euro",Imports of services,"1,427.70"
,2008,Iceland,"Current prices, million euro",External balance of goods and services,-236.3
,2008,Iceland,"Current prices, million euro",External balance - Goods,-458.2
,2008,Iceland,"Current prices, million euro",External balance - Services,221.9
,2008,Iceland,"Current prices, million euro",Compensation of employees,"5,631.40"
,2008,Iceland,"Current prices, million euro",Wages and salaries,:
,2008,Iceland,"Current prices, million euro",Employers' social contributions,:
,2008,Iceland,"Current prices, million euro","Operating surplus and mixed income, gross","3,740.40"
,2008,Iceland,"Current prices, million euro",Taxes on production and imports less subsidies,"1,425.80"
,2008,Iceland,"Current prices, million euro",Taxes on production and imports,"1,615.80"
,2008,Iceland,"Current prices, million euro",Subsidies,190
,2008,Iceland,"Current prices, million euro",Taxes less subsidies on products,"1,357.70"
,2008,Iceland,"Current prices, million euro",Taxes on products,"1,539.70"
,2008,Iceland,"Current prices, million euro",Subsidies on products,182
,2008,Iceland,"Current prices, million euro",Statistical discrepancy (production approach),0
,2008,Iceland,"Current prices, million euro",Statistical discrepancy (expenditure approach),0
,2008,Iceland,"Current prices, million euro",Statistical discrepancy (income approach),0
,2008,Iceland,"Current prices, million euro",Final consumption expenditure and gross capital formation,"11,022.90"
,2008,Iceland,"Current prices, million euro","Final consumption expenditure, gross capital formation and exports of goods and services","15,471.30"
,2008,Liechtenstein,"Current prices, million euro",Gross domestic product at market prices,:
,2008,Liechtenstein,"Current prices, million euro","Value added, gross",:
,2008,Liechtenstein,"Current prices, million euro",Final consumption expenditure,:
,2008,Liechtenstein,"Current prices, million euro",Final consumption expenditure of general government,:
,2008,Liechtenstein,"Current prices, million euro",Individual consumption expenditure of general government,:
,2008,Liechtenstein,"Current prices, million euro",Collective consumption expenditure of general government,:
,2008,Liechtenstein,"Current prices, million euro",Household and NPISH final consumption expenditure,:
,2008,Liechtenstein,"Current prices, million euro",Final consumption expenditure of households,:
,2008,Liechtenstein,"Current prices, million euro",Final consumption expenditure of NPISH,:
,2008,Liechtenstein,"Current prices, million euro",Actual individual consumption,:
,2008,Liechtenstein,"Current prices, million euro",Gross capital formation,:
,2008,Liechtenstein,"Current prices, million euro",Gross fixed capital formation,:
,2008,Liechtenstein,"Current prices, million euro",Changes in inventories and acquisitions less disposals of valuables,:
,2008,Liechtenstein,"Current prices, million euro",Changes in inventories,:
,2008,Liechtenstein,"Current prices, million euro",Acquisitions less disposals of valuables,:
,2008,Liechtenstein,"Current prices, million euro",Exports of goods and services,:
,2008,Liechtenstein,"Current prices, million euro",Exports of goods,:
,2008,Liechtenstein,"Current prices, million euro",Exports of services,:
,2008,Liechtenstein,"Current prices, million euro",Imports of goods and services,:
,2008,Liechtenstein,"Current prices, million euro",Imports of goods,:
,2008,Liechtenstein,"Current prices, million euro",Imports of services,:
,2008,Liechtenstein,"Current prices, million euro",External balance of goods and services,:
,2008,Liechtenstein,"Current prices, million euro",External balance - Goods,:
,2008,Liechtenstein,"Current prices, million euro",External balance - Services,:
,2008,Liechtenstein,"Current prices, million euro",Compensation of employees,:
,2008,Liechtenstein,"Current prices, million euro",Wages and salaries,:
,2008,Liechtenstein,"Current prices, million euro",Employers' social contributions,:
,2008,Liechtenstein,"Current prices, million euro","Operating surplus and mixed income, gross",:
,2008,Liechtenstein,"Current prices, million euro",Taxes on production and imports less subsidies,:
,2008,Liechtenstein,"Current prices, million euro",Taxes on production and imports,:
,2008,Liechtenstein,"Current prices, million euro",Subsidies,:
,2008,Liechtenstein,"Current prices, million euro",Taxes less subsidies on products,:
,2008,Liechtenstein,"Current prices, million euro",Taxes on products,:
,2008,Liechtenstein,"Current prices, million euro",Subsidies on products,:
,2008,Liechtenstein,"Current prices, million euro",Statistical discrepancy (production approach),:
,2008,Liechtenstein,"Current prices, million euro",Statistical discrepancy (expenditure approach),:
,2008,Liechtenstein,"Current prices, million euro",Statistical discrepancy (income approach),:
,2008,Liechtenstein,"Current prices, million euro",Final consumption expenditure and gross capital formation,:
,2008,Liechtenstein,"Current prices, million euro","Final consumption expenditure, gross capital formation and exports of goods and services",:
,2008,Norway,"Current prices, million euro",Gross domestic product at market prices,"317,230.30"
,2008,Norway,"Current prices, million euro","Value added, gross","285,537.30"
,2008,Norway,"Current prices, million euro",Final consumption expenditure,"180,668.90"
,2008,Norway,"Current prices, million euro",Final consumption expenditure of general government,"58,969.80"
,2008,Norway,"Current prices, million euro",Individual consumption expenditure of general government,"38,991.80"
,2008,Norway,"Current prices, million euro",Collective consumption expenditure of general government,"19,978.00"
,2008,Norway,"Current prices, million euro",Household and NPISH final consumption expenditure,"121,699.10"
,2008,Norway,"Current prices, million euro",Final consumption expenditure of households,"116,284.20"
,2008,Norway,"Current prices, million euro",Final consumption expenditure of NPISH,"5,415.00"
,2008,Norway,"Current prices, million euro",Actual individual consumption,"160,690.90"
,2008,Norway,"Current prices, million euro",Gross capital formation,"82,845.10"
,2008,Norway,"Current prices, million euro",Gross fixed capital formation,"71,540.40"
,2008,Norway,"Current prices, million euro",Changes in inventories and acquisitions less disposals of valuables,"11,304.60"
,2008,Norway,"Current prices, million euro",Changes in inventories,"11,264.20"
,2008,Norway,"Current prices, million euro",Acquisitions less disposals of valuables,40.5
,2008,Norway,"Current prices, million euro",Exports of goods and services,"145,565.90"
,2008,Norway,"Current prices, million euro",Exports of goods,"116,205.70"
,2008,Norway,"Current prices, million euro",Exports of services,"29,360.10"
,2008,Norway,"Current prices, million euro",Imports of goods and services,"91,849.50"
,2008,Norway,"Current prices, million euro",Imports of goods,"62,575.60"
,2008,Norway,"Current prices, million euro",Imports of services,"29,273.90"
,2008,Norway,"Current prices, million euro",External balance of goods and services,"53,716.30"
,2008,Norway,"Current prices, million euro",External balance - Goods,"53,630.10"
,2008,Norway,"Current prices, million euro",External balance - Services,86.2
,2008,Norway,"Current prices, million euro",Compensation of employees,"132,178.50"
,2008,Norway,"Current prices, million euro",Wages and salaries,"107,689.80"
,2008,Norway,"Current prices, million euro",Employers' social contributions,"24,488.60"
,2008,Norway,"Current prices, million euro","Operating surplus and mixed income, gross","155,568.70"
,2008,Norway,"Current prices, million euro",Taxes on production and imports less subsidies,"29,483.20"
,2008,Norway,"Current prices, million euro",Taxes on production and imports,"34,954.10"
,2008,Norway,"Current prices, million euro",Subsidies,"5,470.90"
,2008,Norway,"Current prices, million euro",Taxes less subsidies on products,"31,693.00"
,2008,Norway,"Current prices, million euro",Taxes on products,"32,160.80"
,2008,Norway,"Current prices, million euro",Subsidies on products,467.8
,2008,Norway,"Current prices, million euro",Statistical discrepancy (production approach),0
,2008,Norway,"Current prices, million euro",Statistical discrepancy (expenditure approach),:
,2008,Norway,"Current prices, million euro",Statistical discrepancy (income approach),0
,2008,Norway,"Current prices, million euro",Final consumption expenditure and gross capital formation,"263,514.00"
,2008,Norway,"Current prices, million euro","Final consumption expenditure, gross capital formation and exports of goods and services","409,079.90"
,2008,Switzerland,"Current prices, million euro",Gross domestic product at market prices,"378,248.10"
,2008,Switzerland,"Current prices, million euro","Value added, gross","363,935.60"
,2008,Switzerland,"Current prices, million euro",Final consumption expenditure,"242,562.30"
,2008,Switzerland,"Current prices, million euro",Final consumption expenditure of general government,"41,771.60"
,2008,Switzerland,"Current prices, million euro",Individual consumption expenditure of general government,"20,010.50"
,2008,Switzerland,"Current prices, million euro",Collective consumption expenditure of general government,"21,761.10"
,2008,Switzerland,"Current prices, million euro",Household and NPISH final consumption expenditure,"200,790.70"
,2008,Switzerland,"Current prices, million euro",Final consumption expenditure of households,"194,943.10"
,2008,Switzerland,"Current prices, million euro",Final consumption expenditure of NPISH,"5,847.60"
,2008,Switzerland,"Current prices, million euro",Actual individual consumption,"220,801.20"
,2008,Switzerland,"Current prices, million euro",Gross capital formation,"95,807.40"
,2008,Switzerland,"Current prices, million euro",Gross fixed capital formation,"91,004.60"
,2008,Switzerland,"Current prices, million euro",Changes in inventories and acquisitions less disposals of valuables,"4,802.70"
,2008,Switzerland,"Current prices, million euro",Changes in inventories,429.5
,2008,Switzerland,"Current prices, million euro",Acquisitions less disposals of valuables,"4,373.30"
,2008,Switzerland,"Current prices, million euro",Exports of goods and services,"237,014.70"
,2008,Switzerland,"Current prices, million euro",Exports of goods,"170,675.80"
,2008,Switzerland,"Current prices, million euro",Exports of services,"66,338.90"
,2008,Switzerland,"Current prices, million euro",Imports of goods and services,"197,136.20"
,2008,Switzerland,"Current prices, million euro",Imports of goods,"153,811.60"
,2008,Switzerland,"Current prices, million euro",Imports of services,"43,324.60"
,2008,Switzerland,"Current prices, million euro",External balance of goods and services,"39,878.40"
,2008,Switzerland,"Current prices, million euro",External balance - Goods,"16,864.20"
,2008,Switzerland,"Current prices, million euro",External balance - Services,"23,014.30"
,2008,Switzerland,"Current prices, million euro",Compensation of employees,"209,421.50"
,2008,Switzerland,"Current prices, million euro",Wages and salaries,"177,153.70"
,2008,Switzerland,"Current prices, million euro",Employers' social contributions,"32,267.80"
,2008,Switzerland,"Current prices, million euro","Operating surplus and mixed income, gross","155,535.40"
,2008,Switzerland,"Current prices, million euro",Taxes on production and imports less subsidies,"13,291.20"
,2008,Switzerland,"Current prices, million euro",Taxes on production and imports,"23,142.80"
,2008,Switzerland,"Current prices, million euro",Subsidies,"9,851.60"
,2008,Switzerland,"Current prices, million euro",Taxes less subsidies on products,"14,312.50"
,2008,Switzerland,"Current prices, million euro",Taxes on products,"21,442.10"
,2008,Switzerland,"Current prices, million euro",Subsidies on products,"7,129.60"
,2008,Switzerland,"Current prices, million euro",Statistical discrepancy (production approach),0
,2008,Switzerland,"Current prices, million euro",Statistical discrepancy (expenditure approach),:
,2008,Switzerland,"Current prices, million euro",Statistical discrepancy (income approach),:
,2008,Switzerland,"Current prices, million euro",Final consumption expenditure and gross capital formation,"338,369.70"
,2008,Switzerland,"Current prices, million euro","Final consumption expenditure, gross capital formation and exports of goods and services","575,384.40"
,2008,Montenegro,"Current prices, million euro",Gross domestic product at market prices,:
,2008,Montenegro,"Current prices, million euro","Value added, gross",:
,2008,Montenegro,"Current prices, million euro",Final consumption expenditure,:
,2008,Montenegro,"Current prices, million euro",Final consumption expenditure of general government,:
,2008,Montenegro,"Current prices, million euro",Individual consumption expenditure of general government,:
,2008,Montenegro,"Current prices, million euro",Collective consumption expenditure of general government,:
,2008,Montenegro,"Current prices, million euro",Household and NPISH final consumption expenditure,:
,2008,Montenegro,"Current prices, million euro",Final consumption expenditure of households,:
,2008,Montenegro,"Current prices, million euro",Final consumption expenditure of NPISH,:
,2008,Montenegro,"Current prices, million euro",Actual individual consumption,:
,2008,Montenegro,"Current prices, million euro",Gross capital formation,:
,2008,Montenegro,"Current prices, million euro",Gross fixed capital formation,:
,2008,Montenegro,"Current prices, million euro",Changes in inventories and acquisitions less disposals of valuables,:
,2008,Montenegro,"Current prices, million euro",Changes in inventories,:
,2008,Montenegro,"Current prices, million euro",Acquisitions less disposals of valuables,:
,2008,Montenegro,"Current prices, million euro",Exports of goods and services,:
,2008,Montenegro,"Current prices, million euro",Exports of goods,:
,2008,Montenegro,"Current prices, million euro",Exports of services,:
,2008,Montenegro,"Current prices, million euro",Imports of goods and services,:
,2008,Montenegro,"Current prices, million euro",Imports of goods,:
,2008,Montenegro,"Current prices, million euro",Imports of services,:
,2008,Montenegro,"Current prices, million euro",External balance of goods and services,:
,2008,Montenegro,"Current prices, million euro",External balance - Goods,:
,2008,Montenegro,"Current prices, million euro",External balance - Services,:
,2008,Montenegro,"Current prices, million euro",Compensation of employees,:
,2008,Montenegro,"Current prices, million euro",Wages and salaries,:
,2008,Montenegro,"Current prices, million euro",Employers' social contributions,:
,2008,Montenegro,"Current prices, million euro","Operating surplus and mixed income, gross",:
,2008,Montenegro,"Current prices, million euro",Taxes on production and imports less subsidies,:
,2008,Montenegro,"Current prices, million euro",Taxes on production and imports,:
,2008,Montenegro,"Current prices, million euro",Subsidies,:
,2008,Montenegro,"Current prices, million euro",Taxes less subsidies on products,:
,2008,Montenegro,"Current prices, million euro",Taxes on products,:
,2008,Montenegro,"Current prices, million euro",Subsidies on products,:
,2008,Montenegro,"Current prices, million euro",Statistical discrepancy (production approach),:
,2008,Montenegro,"Current prices, million euro",Statistical discrepancy (expenditure approach),:
,2008,Montenegro,"Current prices, million euro",Statistical discrepancy (income approach),:
,2008,Montenegro,"Current prices, million euro",Final consumption expenditure and gross capital formation,:
,2008,Montenegro,"Current prices, million euro","Final consumption expenditure, gross capital formation and exports of goods and services",:
,2008,"Former Yugoslav Republic of Macedonia, the","Current prices, million euro",Gross domestic product at market prices,"6,772.10"
,2008,"Former Yugoslav Republic of Macedonia, the","Current prices, million euro","Value added, gross","5,829.60"
,2008,"Former Yugoslav Republic of Macedonia, the","Current prices, million euro",Final consumption expenditure,"6,581.70"
,2008,"Former Yugoslav Republic of Macedonia, the","Current prices, million euro",Final consumption expenditure of general government,"1,258.50"
,2008,"Former Yugoslav Republic of Macedonia, the","Current prices, million euro",Individual consumption expenditure of general government,569.1
,2008,"Former Yugoslav Republic of Macedonia, the","Current prices, million euro",Collective consumption expenditure of general government,689.4
,2008,"Former Yugoslav Republic of Macedonia, the","Current prices, million euro",Household and NPISH final consumption expenditure,"5,323.20"
,2008,"Former Yugoslav Republic of Macedonia, the","Current prices, million euro",Final consumption expenditure of households,"5,276.70"
,2008,"Former Yugoslav Republic of Macedonia, the","Current prices, million euro",Final consumption expenditure of NPISH,46.5
,2008,"Former Yugoslav Republic of Macedonia, the","Current prices, million euro",Actual individual consumption,"5,892.30"
,2008,"Former Yugoslav Republic of Macedonia, the","Current prices, million euro",Gross capital formation,"1,891.60"
,2008,"Former Yugoslav Republic of Macedonia, the","Current prices, million euro",Gross fixed capital formation,"1,744.40"
,2008,"Former Yugoslav Republic of Macedonia, the","Current prices, million euro",Changes in inventories and acquisitions less disposals of valuables,147.2
,2008,"Former Yugoslav Republic of Macedonia, the","Current prices, million euro",Changes in inventories,141.8
,2008,"Former Yugoslav Republic of Macedonia, the","Current prices, million euro",Acquisitions less disposals of valuables,5.4
,2008,"Former Yugoslav Republic of Macedonia, the","Current prices, million euro",Exports of goods and services,"2,927.20"
,2008,"Former Yugoslav Republic of Macedonia, the","Current prices, million euro",Exports of goods,"2,023.10"
,2008,"Former Yugoslav Republic of Macedonia, the","Current prices, million euro",Exports of services,904.1
,2008,"Former Yugoslav Republic of Macedonia, the","Current prices, million euro",Imports of goods and services,"4,628.40"
,2008,"Former Yugoslav Republic of Macedonia, the","Current prices, million euro",Imports of goods,"3,958.60"
,2008,"Former Yugoslav Republic of Macedonia, the","Current prices, million euro",Imports of services,669.9
,2008,"Former Yugoslav Republic of Macedonia, the","Current prices, million euro",External balance of goods and services,"-1,701.20"
,2008,"Former Yugoslav Republic of Macedonia, the","Current prices, million euro",External balance - Goods,"-1,935.40"
,2008,"Former Yugoslav Republic of Macedonia, the","Current prices, million euro",External balance - Services,234.2
,2008,"Former Yugoslav Republic of Macedonia, the","Current prices, million euro",Compensation of employees,"2,277.70"
,2008,"Former Yugoslav Republic of Macedonia, the","Current prices, million euro",Wages and salaries,"2,277.70"
,2008,"Former Yugoslav Republic of Macedonia, the","Current prices, million euro",Employers' social contributions,:
,2008,"Former Yugoslav Republic of Macedonia, the","Current prices, million euro","Operating surplus and mixed income, gross","3,576.40"
,2008,"Former Yugoslav Republic of Macedonia, the","Current prices, million euro",Taxes on production and imports less subsidies,918
,2008,"Former Yugoslav Republic of Macedonia, the","Current prices, million euro",Taxes on production and imports,989.3
,2008,"Former Yugoslav Republic of Macedonia, the","Current prices, million euro",Subsidies,71.3
,2008,"Former Yugoslav Republic of Macedonia, the","Current prices, million euro",Taxes less subsidies on products,942.5
,2008,"Former Yugoslav Republic of Macedonia, the","Current prices, million euro",Taxes on products,972.5
,2008,"Former Yugoslav Republic of Macedonia, the","Current prices, million euro",Subsidies on products,30
,2008,"Former Yugoslav Republic of Macedonia, the","Current prices, million euro",Statistical discrepancy (production approach),:
,2008,"Former Yugoslav Republic of Macedonia, the","Current prices, million euro",Statistical discrepancy (expenditure approach),:
,2008,"Former Yugoslav Republic of Macedonia, the","Current prices, million euro",Statistical discrepancy (income approach),:
,2008,"Former Yugoslav Republic of Macedonia, the","Current prices, million euro",Final consumption expenditure and gross capital formation,"8,473.30"
,2008,"Former Yugoslav Republic of Macedonia, the","Current prices, million euro","Final consumption expenditure, gross capital formation and exports of goods and services","11,400.50"
,2008,Albania,"Current prices, million euro",Gross domestic product at market prices,"8,800.30"
,2008,Albania,"Current prices, million euro","Value added, gross","7,629.60"
,2008,Albania,"Current prices, million euro",Final consumption expenditure,"8,225.90"
,2008,Albania,"Current prices, million euro",Final consumption expenditure of general government,913.4
,2008,Albania,"Current prices, million euro",Individual consumption expenditure of general government,426.5
,2008,Albania,"Current prices, million euro",Collective consumption expenditure of general government,486.9
,2008,Albania,"Current prices, million euro",Household and NPISH final consumption expenditure,"7,312.50"
,2008,Albania,"Current prices, million euro",Final consumption expenditure of households,"7,270.20"
,2008,Albania,"Current prices, million euro",Final consumption expenditure of NPISH,42.3
,2008,Albania,"Current prices, million euro",Actual individual consumption,"7,739.00"
,2008,Albania,"Current prices, million euro",Gross capital formation,"3,148.60"
,2008,Albania,"Current prices, million euro",Gross fixed capital formation,"2,987.60"
,2008,Albania,"Current prices, million euro",Changes in inventories and acquisitions less disposals of valuables,161
,2008,Albania,"Current prices, million euro",Changes in inventories,161
,2008,Albania,"Current prices, million euro",Acquisitions less disposals of valuables,:
,2008,Albania,"Current prices, million euro",Exports of goods and services,"2,226.70"
,2008,Albania,"Current prices, million euro",Exports of goods,367.4
,2008,Albania,"Current prices, million euro",Exports of services,"1,859.20"
,2008,Albania,"Current prices, million euro",Imports of goods and services,"4,589.30"
,2008,Albania,"Current prices, million euro",Imports of goods,"2,976.10"
,2008,Albania,"Current prices, million euro",Imports of services,"1,613.20"
,2008,Albania,"Current prices, million euro",External balance of goods and services,"-2,362.60"
,2008,Albania,"Current prices, million euro",External balance - Goods,"-2,608.70"
,2008,Albania,"Current prices, million euro",External balance - Services,246
,2008,Albania,"Current prices, million euro",Compensation of employees,:
,2008,Albania,"Current prices, million euro",Wages and salaries,:
,2008,Albania,"Current prices, million euro",Employers' social contributions,:
,2008,Albania,"Current prices, million euro","Operating surplus and mixed income, gross",:
,2008,Albania,"Current prices, million euro",Taxes on production and imports less subsidies,:
,2008,Albania,"Current prices, million euro",Taxes on production and imports,:
,2008,Albania,"Current prices, million euro",Subsidies,:
,2008,Albania,"Current prices, million euro",Taxes less subsidies on products,"1,170.70"
,2008,Albania,"Current prices, million euro",Taxes on products,"1,189.80"
,2008,Albania,"Current prices, million euro",Subsidies on products,19.1
,2008,Albania,"Current prices, million euro",Statistical discrepancy (production approach),:
,2008,Albania,"Current prices, million euro",Statistical discrepancy (expenditure approach),-211.6
,2008,Albania,"Current prices, million euro",Statistical discrepancy (income approach),:
,2008,Albania,"Current prices, million euro",Final consumption expenditure and gross capital formation,"11,374.50"
,2008,Albania,"Current prices, million euro","Final consumption expenditure, gross capital formation and exports of goods and services","13,601.20"
,2008,Serbia,"Current prices, million euro",Gross domestic product at market prices,"33,704.50"
,2008,Serbia,"Current prices, million euro","Value added, gross","28,337.50"
,2008,Serbia,"Current prices, million euro",Final consumption expenditure,"31,911.80"
,2008,Serbia,"Current prices, million euro",Final consumption expenditure of general government,"6,555.80"
,2008,Serbia,"Current prices, million euro",Individual consumption expenditure of general government,"4,143.00"
,2008,Serbia,"Current prices, million euro",Collective consumption expenditure of general government,"2,412.80"
,2008,Serbia,"Current prices, million euro",Household and NPISH final consumption expenditure,"25,356.00"
,2008,Serbia,"Current prices, million euro",Final consumption expenditure of households,"25,030.30"
,2008,Serbia,"Current prices, million euro",Final consumption expenditure of NPISH,325.7
,2008,Serbia,"Current prices, million euro",Actual individual consumption,"29,499.00"
,2008,Serbia,"Current prices, million euro",Gross capital formation,"10,226.30"
,2008,Serbia,"Current prices, million euro",Gross fixed capital formation,"8,401.80"
,2008,Serbia,"Current prices, million euro",Changes in inventories and acquisitions less disposals of valuables,"1,824.50"
,2008,Serbia,"Current prices, million euro",Changes in inventories,"1,819.40"
,2008,Serbia,"Current prices, million euro",Acquisitions less disposals of valuables,5.1
,2008,Serbia,"Current prices, million euro",Exports of goods and services,"9,813.70"
,2008,Serbia,"Current prices, million euro",Exports of goods,"7,075.20"
,2008,Serbia,"Current prices, million euro",Exports of services,"2,738.50"
,2008,Serbia,"Current prices, million euro",Imports of goods and services,"18,247.30"
,2008,Serbia,"Current prices, million euro",Imports of goods,"15,312.90"
,2008,Serbia,"Current prices, million euro",Imports of services,"2,934.40"
,2008,Serbia,"Current prices, million euro",External balance of goods and services,"-8,433.50"
,2008,Serbia,"Current prices, million euro",External balance - Goods,"-8,237.70"
,2008,Serbia,"Current prices, million euro",External balance - Services,-195.9
,2008,Serbia,"Current prices, million euro",Compensation of employees,:
,2008,Serbia,"Current prices, million euro",Wages and salaries,:
